	name2	chrom	cdsStart	cdsEnd
602374	PPM1L	chr3	160755602	161078902
602434	B3GALNT1	chr3	161083883	161105411
603244	NMD3	chr3	161104696	161253532
603452	SPTSSB	chr3	161344792	161372880
603493	LINC02067	chr3	161426427	161448242
603499	AC112491.1	chr3	161429112	161429613
603503	OTOL1	chr3	161496808	161503942
603516	AC112770.1	chr3	161600438	161735399
603520	AC131211.1	chr3	161816909	161821908
603524	AC128685.1	chr3	163026396	163232149
603531	LINC01192	chr3	163109152	163361563
604031	AC079910.1	chr3	163455568	163479500
604039	LINC01323	chr3	164670878	164686076
604045	LINC01324	chr3	164714095	164831480
604054	SI	chr3	164978898	165078496
604172	LINC02023	chr3	165150006	165158062
604176	SLITRK3	chr3	165186720	165197109
604202	LINC01322	chr3	165206929	165846519
604438	BCHE	chr3	165772904	165837462
604500	LINC01326	chr3	166569693	166570763
604504	AC069439.2	chr3	166835021	166844956
604508	ZBBX	chr3	167240287	167381346
604820	LINC01327	chr3	167392796	167408519
604826	SERPINI2	chr3	167441789	167479004
604972	WDR49	chr3	167478684	167653983
605174	PDCD10	chr3	167683298	167734939
605464	SERPINI1	chr3	167735243	167825568
605554	AC079822.1	chr3	167794947	167811081
605558	AC026353.1	chr3	167866500	167950292
605585	GOLIM4	chr3	168008689	168095924
605662	AC069243.1	chr3	168094049	168095087
605665	AC124893.1	chr3	168288553	168291228
605669	LINC02082	chr3	168902194	168924590
605681	AC092954.1	chr3	168927475	168927919
605684	AC092954.2	chr3	168928169	168928598
605687	LINC01997	chr3	169003022	169038416
605697	MECOM	chr3	169083499	169663775
606147	AC074033.1	chr3	169447867	169477052
606154	AC007849.1	chr3	169613510	169623951
606159	TERC	chr3	169764520	169765060
606162	ACTRT3	chr3	169766921	169769561
606172	AC078802.1	chr3	169769649	169772043
606176	MYNN	chr3	169772831	169789716
606274	AC078795.1	chr3	169777192	169780334
606277	LRRC34	chr3	169793428	169812986
606417	AC078795.3	chr3	169793495	169793966
606420	AC078795.2	chr3	169794962	169796213
606423	LRRIQ4	chr3	169821922	169837775
606438	LRRC31	chr3	169839172	169869935
606514	SAMD7	chr3	169911572	169939175
606584	AC008040.1	chr3	169939353	169966734
606598	SEC62	chr3	169966635	169998373
606714	SEC62-AS1	chr3	169978536	169985715
606718	GPR160	chr3	170037995	170085392
606790	PHC3	chr3	170086732	170181749
607042	PRKCI	chr3	170222424	170305977
607110	AC073288.1	chr3	170345678	170353961
607114	SKIL	chr3	170357678	170396835
607221	AC073288.2	chr3	170410512	170418615
607227	CLDN11	chr3	170418865	170454733
607267	SLC7A14-AS1	chr3	170448639	170860993
607292	SLC7A14	chr3	170459548	170586075
607317	AC026316.3	chr3	170656562	170662123
607321	AC026316.5	chr3	170691997	170736061
607332	AC026316.2	chr3	170740351	170741365
607336	RPL22L1	chr3	170864875	170870208
607403	EIF5A2	chr3	170888418	170908644
607462	AC061708.1	chr3	170908857	171054973
607467	SLC2A2	chr3	170996347	171026743
607559	TNIK	chr3	171058414	171460408
608163	AC092919.1	chr3	171459248	171469702
608175	PLD1	chr3	171600404	171810950
608415	TMEM212-AS1	chr3	171815586	171900749
608421	TMEM212	chr3	171843349	171938715
608482	TMEM212-IT1	chr3	171894436	171895240
608486	AC055714.1	chr3	171941607	171996871
608496	FNDC3B	chr3	172039578	172401669
608743	GHSR	chr3	172443291	172448456
608760	TNFSF10	chr3	172505508	172523475
608810	LINC02068	chr3	172560888	172595607
608823	NCEH1	chr3	172630249	172711218
608910	AC108667.2	chr3	172711151	172725038
608914	ECT2	chr3	172750682	172821474
609310	SPATA16	chr3	172889357	173141235
609357	AC068759.1	chr3	173153737	173336965
609370	NLGN1	chr3	173396284	174286644
609467	NLGN1-AS1	chr3	173910498	173920796
609477	NAALADL2	chr3	174438573	175810548
609596	NAALADL2-AS3	chr3	175079307	175115242
609606	NAALADL2-AS2	chr3	175234861	175271096
609611	AC008180.2	chr3	175473919	175477602
609615	NAALADL2-AS1	chr3	175773145	175776333
609620	AC104640.1	chr3	175938929	175941037
609623	LINC01208	chr3	176415439	176867838
609659	LINC01209	chr3	176814155	176817001
609666	TBL1XR1	chr3	177019340	177228000
610090	TBL1XR1-AS1	chr3	177037405	177047923
610099	LINC00501	chr3	177294442	177323418
610103	AC117465.1	chr3	177337628	177349166
610108	LINC00578	chr3	177441910	177767379
610167	AC026355.3	chr3	177621382	177628287
610172	AC026355.2	chr3	177683627	177691250
610178	LINC02015	chr3	177816865	177899224
610197	AC007953.1	chr3	177930758	177940299
610206	AC007953.2	chr3	177952327	177959817
610214	AC110992.1	chr3	178028130	178172449
610220	AC117453.1	chr3	178164008	178385479
610274	KCNMB2	chr3	178272932	178844429
610396	LINC01014	chr3	178419201	178457309
610408	KCNMB2-AS1	chr3	178526505	178937352
610448	ZMAT3	chr3	178960121	179072215
610521	AC076966.2	chr3	179101366	179147973
610526	PIK3CA	chr3	179148114	179240093
610644	KCNMB3	chr3	179236691	179267002
610732	ZNF639	chr3	179323031	179338583
610867	AC007823.1	chr3	179340322	179341887
610870	MFN1	chr3	179347709	179394936
611056	GNB4	chr3	179396088	179451476
611139	AC007620.2	chr3	179396961	179399191
611149	AC007620.3	chr3	179405448	179405944
611152	ACTL6A	chr3	179562886	179588407
611324	AC090425.3	chr3	179583262	179583762
611327	AC090425.2	chr3	179584271	179584410
611330	MRPL47	chr3	179588285	179604649
611386	NDUFB5	chr3	179604690	179627647
611549	USP13	chr3	179653040	179789401
611692	PEX5L	chr3	179794958	180037053
612080	AC007687.1	chr3	179804063	179804366
612083	PEX5L-AS1	chr3	179875376	179881609
612087	PEX5L-AS2	chr3	179898199	179921895
612092	AC092939.1	chr3	179971494	180017083
612097	LINC02053	chr3	180413008	180476778
612120	AC125618.1	chr3	180566718	180601935
612125	TTC14	chr3	180602163	180617828
612316	CCDC39	chr3	180602858	180684942
612522	CCDC39-AS1	chr3	180680084	180700449
612526	AC108734.4	chr3	180707589	180871005
612548	FXR1	chr3	180868141	180982753
612932	DNAJC19	chr3	180983709	180989774
613058	SOX2-OT	chr3	180989762	181836880
613593	AC068308.1	chr3	181372732	181442597
613662	AC125613.1	chr3	181534177	181700611
613681	SOX2	chr3	181711925	181714436
613689	LINC01206	chr3	181952343	182035644
614516	AC012081.2	chr3	182049058	182052270
614521	AC012081.1	chr3	182121884	182142137
614525	AC109131.1	chr3	182149430	182158313
614529	AC084211.1	chr3	182365147	182368256
614533	LINC01994	chr3	182446970	182486364
614539	LINC01995	chr3	182498187	182536772
614552	AC021055.1	chr3	182588093	182617810
614557	LINC02031	chr3	182644214	182655880
614564	AC083801.2	chr3	182739669	182740848
614567	AC069431.1	chr3	182783236	182793394
614571	ATP11B	chr3	182793503	182921629
614802	AC092953.2	chr3	182921240	182921938
614805	DCUN1D1	chr3	182938074	182985953
614936	MCCC1	chr3	183015218	183116075
615333	MCCC1-AS1	chr3	183016255	183017808
615337	LAMP3	chr3	183122215	183163839
615395	MCF2L2	chr3	183178043	183428778
615703	B3GNT5	chr3	183253253	183298504
615774	KLHL6	chr3	183487551	183555706
615823	KLHL6-AS1	chr3	183548735	183552326
615827	KLHL24	chr3	183635610	183684519
615973	YEATS2	chr3	183697797	183812624
616071	YEATS2-AS1	chr3	183806457	183810783
616086	MAP6D1	chr3	183815876	183825594
616121	PARL	chr3	183829271	183884933
616354	ABCC5	chr3	183919934	184017939
616682	ABCC5-AS1	chr3	184006338	184011419
616687	HTR3D	chr3	184031544	184039369
616758	HTR3C	chr3	184053047	184060673
616782	HTR3E-AS1	chr3	184095118	184105178
616787	HTR3E	chr3	184097064	184106995
616903	AC131235.3	chr3	184132942	184133561
616906	AC131235.2	chr3	184134019	184135238
616915	EIF2B5	chr3	184135038	184146127
617652	DVL3	chr3	184155377	184173614
617819	AP2M1	chr3	184174689	184184091
618092	ABCF3	chr3	184186023	184194012
618312	VWA5B2	chr3	184230429	184242329
618423	ALG3	chr3	184242301	184249548
618589	EEF1AKMT4	chr3	184249650	184259585
618601	CAMK2N2	chr3	184259213	184261553
618611	ECE2	chr3	184276011	184293031
618829	PSMD2	chr3	184299198	184309050
619083	EIF4G1	chr3	184314495	184335358
620364	FAM131A	chr3	184335926	184348421
620512	CLCN2	chr3	184346185	184361650
621115	POLR2H	chr3	184361718	184368596
621244	THPO	chr3	184371935	184381968
621361	CHRD	chr3	184380073	184390736
621720	LINC02054	chr3	184399790	184457891
621742	LINC01839	chr3	184505113	184508399
621746	LINC01840	chr3	184546714	184556918
621750	EPHB3	chr3	184561785	184582408
621794	MAGEF1	chr3	184710364	184712064
621802	AC107294.2	chr3	184712245	184780720
621842	LINC02069	chr3	184725013	184773178
621857	AC107294.3	chr3	184741937	184742462
621860	AC107294.1	chr3	184742818	184743284
621863	VPS8	chr3	184812143	185052614
622503	C3orf70	chr3	185076838	185153060
622513	EHHADH-AS1	chr3	185162871	185191955
622527	EHHADH	chr3	185190624	185281990
622589	MAP3K13	chr3	185282941	185489094
622857	TMEM41A	chr3	185476496	185499057
622916	AC099661.1	chr3	185499140	185501109
622920	LIPH	chr3	185506262	185552588
622998	SENP2	chr3	185582496	185633551
623187	IGF2BP2	chr3	185643739	185825056
623368	IGF2BP2-AS1	chr3	185712528	185729787
623393	TRA2B	chr3	185914558	185938103
623555	ETV5	chr3	186046314	186110318
623729	ETV5-AS1	chr3	186079170	186080947
623733	DGKG	chr3	186105668	186362234
623958	LINC02020	chr3	186439239	186457299
624076	LINC02052	chr3	186454969	186493661
624190	LINC02051	chr3	186476727	186478370
624194	CRYGS	chr3	186538441	186546702
624222	TBCCD1	chr3	186546067	186570543
624305	DNAJB11	chr3	186567403	186585800
624369	AC068631.1	chr3	186579476	186772986
624645	AHSG	chr3	186613060	186621318
624689	FETUB	chr3	186635969	186653141
624812	HRG	chr3	186660216	186678240
624842	KNG1	chr3	186717348	186744410
624923	AC112907.3	chr3	186781780	186784179
624926	EIF4A2	chr3	186783205	186789897
625198	RFC4	chr3	186789880	186807058
625395	AC112907.1	chr3	186807692	186818121
625399	LINC02043	chr3	186810880	186825521
625405	ADIPOQ	chr3	186842704	186858463
625430	ADIPOQ-AS1	chr3	186851886	186856123
625435	ST6GAL1	chr3	186930502	187078553
625661	RPL39L	chr3	187120948	187180908
625695	AC007920.1	chr3	187197090	187207629
625702	RTP1	chr3	187197486	187201462
625712	MASP1	chr3	187217285	187292022
625912	AC007920.2	chr3	187291272	187297933
625916	RTP4	chr3	187368385	187372076
625926	LINC02041	chr3	187448845	187449450
625930	SST	chr3	187668912	187670394
625940	RTP2	chr3	187698259	187702557
625950	AC072022.1	chr3	187702313	187733849
625959	BCL6	chr3	187721377	187745725
626113	AC072022.2	chr3	187743686	187746028
626123	AC108681.1	chr3	187796187	187805258
626131	AC068295.1	chr3	187932764	187946221
626135	LINC01991	chr3	187958775	187976407
626142	AC092941.1	chr3	187997422	188003990
626146	AC092941.2	chr3	188001700	188003406
626150	AC022498.1	chr3	188107072	188147310
626163	LPP-AS2	chr3	188151206	188154057
626166	LPP	chr3	188153284	188890671
626395	LPP-AS1	chr3	188562238	188568666
626399	TPRG1-AS1	chr3	188941715	188947639
626403	TPRG1	chr3	188947214	189325304
626530	TPRG1-AS2	chr3	189238686	189240594
626535	TP63	chr3	189631389	189897276
626866	P3H2	chr3	189956728	190122437
626984	P3H2-AS1	chr3	190120964	190145107
626991	CLDN1	chr3	190305707	190322446
627008	CLDN16	chr3	190322541	190412143
627038	TMEM207	chr3	190428655	190449876
627054	IL1RAP	chr3	190514051	190659750
627386	AC108747.1	chr3	190659216	190659750
627389	LINC02013	chr3	190680421	190699314
627404	GMNC	chr3	190852737	190892429
627443	OSTN	chr3	191199241	191265615
627466	OSTN-AS1	chr3	191213291	191234605
627478	UTS2B	chr3	191267168	191330536
627592	CCDC50	chr3	191329085	191398659
627652	AC073365.1	chr3	191425493	191591097
627858	PYDC2	chr3	191461163	191461456
627865	AC026320.1	chr3	192029880	192036557
627877	AC026320.3	chr3	192078950	192119864
627883	FGF12	chr3	192139395	192767764
627983	FGF12-AS1	chr3	192238037	192283097
627994	FGF12-AS2	chr3	192515022	192516573
627998	FGF12-AS3	chr3	192516831	192521398
628002	MB21D2	chr3	192796815	192917856
628012	AC092966.1	chr3	193144464	193176864
628017	PLAAT1	chr3	193241128	193277738
628052	ATP13A5	chr3	193274789	193378820
628165	ATP13A5-AS1	chr3	193307244	193314362
628169	ATP13A4	chr3	193398967	193593111
628507	ATP13A4-AS1	chr3	193553213	193555088
628515	OPA1	chr3	193593144	193697811
629972	OPA1-AS1	chr3	193618609	193627337
629980	AC069421.2	chr3	193770543	193772424
629984	AC069421.3	chr3	193771874	193782758
629990	LINC02038	chr3	193842560	193844024
629998	LINC02026	chr3	193957372	194003760
630012	AC024559.1	chr3	193980614	194006098
630017	LINC02028	chr3	194005259	194071025
630314	AC024559.2	chr3	194070103	194086826
630330	AC080129.1	chr3	194091561	194109174
630334	AC080129.2	chr3	194130616	194131201
630338	HES1	chr3	194136148	194138732
630355	LINC02036	chr3	194202392	194250203
630406	LINC02037	chr3	194247638	194260720
630422	LINC02048	chr3	194276682	194287368
630431	LINC00887	chr3	194296191	194322871
630477	AC117469.1	chr3	194300329	194302048
630481	CPN2	chr3	194339768	194351328
630499	LRRC15	chr3	194355247	194369743
630520	GP5	chr3	194394821	194398354
630528	ATP13A3	chr3	194402672	194498364
631000	LINC00884	chr3	194487140	194521156
631042	AC108676.1	chr3	194496317	194501503
631046	TMEM44-AS1	chr3	194584004	194590260
631063	TMEM44	chr3	194587673	194633689
631289	AC046143.1	chr3	194632923	194645401
631293	AC046143.2	chr3	194637505	194637664
631296	LSG1	chr3	194640791	194672463
631383	FAM43A	chr3	194685883	194689037
631391	AC106706.1	chr3	194702667	194727675
631429	AC106706.2	chr3	194708010	194709395
631433	LINC01968	chr3	194708093	194826008
631598	LINC01972	chr3	194765238	194768712
631603	AC090505.2	chr3	194827890	194832592
631608	XXYLT1	chr3	195068284	195271159
631706	XXYLT1-AS1	chr3	195094588	195096057
631712	XXYLT1-AS2	chr3	195147871	195152790
631719	AC090018.2	chr3	195260632	195263628
631723	ACAP2	chr3	195274745	195443044
631984	ACAP2-IT1	chr3	195280723	195282741
631988	PPP1R2	chr3	195514428	195543386
632064	AC069213.1	chr3	195544048	195550581
632074	APOD	chr3	195568705	195584033
632142	AC233280.1	chr3	195655565	195657927
632147	MUC20	chr3	195720884	195741123
632221	MUC4	chr3	195746765	195811973
633133	LINC01983	chr3	195836193	195860404
633143	TNK2	chr3	195863364	195911945
633682	AC124944.3	chr3	195900986	195903417
633686	TNK2-AS1	chr3	195908076	195913986
633699	AC024937.3	chr3	195996262	196027694
633708	TFRC	chr3	196027183	196082096
633907	LINC00885	chr3	196142525	196160893
633937	ZDHHC19	chr3	196197452	196211437
634025	SLC51A	chr3	196211487	196243178
634131	PCYT1A	chr3	196214222	196287957
634345	AC069257.1	chr3	196250542	196251654
634352	TCTEX1D2	chr3	196291219	196318299
634406	TM4SF19-AS1	chr3	196318330	196325570
634416	TM4SF19	chr3	196319342	196338503
634469	UBXN7	chr3	196347662	196432430
634568	UBXN7-AS1	chr3	196431385	196432530
634572	RNF168	chr3	196468783	196503768
634605	AC117490.2	chr3	196474801	196475394
634608	SMCO1	chr3	196506879	196515346
634631	WDR53	chr3	196554177	196568674
634681	FBXO45	chr3	196568611	196589059
634704	AC092933.2	chr3	196598549	196609410
634709	LINC01063	chr3	196631498	196632587
634713	NRROS	chr3	196639694	196662004
634728	PIGX	chr3	196639775	196736007
634875	CEP19	chr3	196706277	196712250
634896	PAK2	chr3	196739857	196832647
634950	SENP5	chr3	196867856	196934714
635050	AC016949.1	chr3	196912646	196914579
635054	NCBP2	chr3	196935402	196942594
635170	NCBP2-AS1	chr3	196939877	196942534
635175	NCBP2AS2	chr3	196942674	196943543
635183	PIGZ	chr3	196946356	196969060
635214	AC011322.1	chr3	196973709	196979197
635220	MELTF	chr3	196988621	197029817
635302	MELTF-AS1	chr3	196999460	197004744
635320	DLG1	chr3	197042560	197299330
638326	DLG1-AS1	chr3	197298252	197303755
638344	AL121981.1	chr3	197333944	197340706
638350	AC128709.2	chr3	197445061	197458323
638355	AC128709.1	chr3	197450327	197456654
638360	AC128709.3	chr3	197458405	197467105
638364	LINC02012	chr3	197505262	197506986
638367	BDH1	chr3	197509783	197573323
638574	AC024560.3	chr3	197645669	197646017
638577	AC024560.4	chr3	197649303	197651482
638581	AC024560.1	chr3	197660565	197665757
638585	AC024560.5	chr3	197665316	197674863
638589	RUBCN	chr3	197668867	197749727
638806	FYTTD1	chr3	197737179	197787596
638962	AC055764.2	chr3	197789700	197790369
638965	LRCH3	chr3	197791226	197888436
639340	AC055764.1	chr3	197830685	197831296
639344	IQCG	chr3	197889077	197960142
639485	RPL35A	chr3	197950190	197956610
639584	LMLN	chr3	197960200	198043720
639791	AC135893.1	chr3	198027956	198035970
639796	LMLN-AS1	chr3	198038321	198039234
639801	ZNF595	chr4	53286	88208
639852	ZNF718	chr4	124501	202303
639894	AC253576.2	chr4	149738	150317
639897	ZNF732	chr4	270675	305474
639920	AC079140.6	chr4	307335	337433
639924	ZNF141	chr4	337814	384868
639977	AC092574.2	chr4	386174	454070
639981	AC092574.1	chr4	416118	416537
639984	ZNF721	chr4	425815	499156
640052	PIGG	chr4	499210	540200
640341	TMEM271	chr4	573880	576300
640349	AC116565.1	chr4	577168	618076
640368	PDE6B	chr4	625584	670782
640592	AC107464.1	chr4	652850	656213
640606	AC107464.3	chr4	661209	661945
640609	ATP5ME	chr4	672436	674330
640638	MYL5	chr4	673580	682033
640774	SLC49A3	chr4	681829	689441
640932	PCGF3	chr4	705748	770640
641131	AC107464.2	chr4	722275	724034
641135	AC139887.4	chr4	757022	757740
641138	AC139887.2	chr4	760202	781859
641160	AC139887.1	chr4	764487	765074
641164	CPLX1	chr4	784957	826129
641205	AC139887.3	chr4	836512	837224
641208	AC139887.5	chr4	843963	846294
641212	GAK	chr4	849276	932373
641536	TMEM175	chr4	932387	958656
641879	DGKQ	chr4	958887	986895
642014	SLC26A1	chr4	979073	993440
642066	IDUA	chr4	986997	1004564
642218	FGFRL1	chr4	1009936	1026898
642318	AC019103.1	chr4	1027678	1028972
642322	RNF212	chr4	1056250	1113564
642514	AC092535.4	chr4	1113639	1132977
642522	AC092535.2	chr4	1151372	1153701
642526	SPON2	chr4	1166932	1208962
642701	AC092535.5	chr4	1167778	1168174
642704	CTBP1-AS	chr4	1210120	1218591
642712	CTBP1	chr4	1211448	1249953
642906	CTBP1-DT	chr4	1249300	1288291
642927	MAEA	chr4	1289887	1340147
643195	UVSSA	chr4	1347208	1388049
643352	AC078852.2	chr4	1356581	1358075
643356	AC078852.1	chr4	1358479	1359461
643360	CRIPAK	chr4	1391552	1395992
643368	NKX1-1	chr4	1402932	1406331
643377	AC147067.2	chr4	1550284	1550572
643380	AC147067.1	chr4	1574062	1580253
643384	FAM53A	chr4	1617915	1684302
643466	SLBP	chr4	1692731	1712344
643575	AC016773.1	chr4	1712821	1715945
643581	TACC3	chr4	1712891	1745176
643909	TMEM129	chr4	1715952	1721358
643973	FGFR3	chr4	1793293	1808872
644272	LETM1	chr4	1811479	1856156
644333	NSD2	chr4	1871393	1982207
644909	NELFA	chr4	1982717	2041903
645134	C4orf48	chr4	2041993	2043970
645161	NAT8L	chr4	2059512	2069089
645183	POLN	chr4	2071918	2242121
645402	HAUS3	chr4	2078998	2242276
645570	AL136360.2	chr4	2139673	2141058
645574	MXD4	chr4	2247432	2262109
645631	ZFYVE28	chr4	2269582	2418663
645817	AL158068.2	chr4	2295584	2319089
645822	CFAP99	chr4	2418974	2462942
645920	RNF4	chr4	2462220	2625320
646190	AL645924.1	chr4	2463797	2464124
646194	FAM193A	chr4	2536631	2732565
646585	TNIP2	chr4	2741648	2756342
646651	SH3BP2	chr4	2793071	2841098
647018	ADD1	chr4	2843857	2930076
647509	AL121750.1	chr4	2859983	2862673
647513	MFSD10	chr4	2930561	2934834
647737	NOP14-AS1	chr4	2934882	2961738
647804	NOP14	chr4	2937933	2963406
647972	GRK4	chr4	2963571	3040760
648145	HTT	chr4	3041422	3243960
648423	HTT-AS	chr4	3049094	3074538
648440	MSANTD1	chr4	3244369	3271738
648499	RGS12	chr4	3293028	3439913
648811	HGFAC	chr4	3441887	3449495
648895	AL590235.2	chr4	3450638	3453108
648899	DOK7	chr4	3463306	3501473
648986	LRPAP1	chr4	3503612	3532446
649065	AL590235.1	chr4	3544555	3548796
649076	LINC00955	chr4	3576869	3590711
649086	AL121796.1	chr4	3633029	3633975
649090	LINC02171	chr4	3673593	3677855
649095	LINC02600	chr4	3758748	3763390
649099	ADRA2C	chr4	3766348	3768526
649116	OTOP1	chr4	4188803	4226889
649134	TMEM128	chr4	4235542	4248223
649165	LYAR	chr4	4267701	4290154
649230	ZBTB49	chr4	4290251	4321786
649311	AC105415.1	chr4	4321962	4334182
649316	NSG1	chr4	4348140	4419058
649480	STX18	chr4	4415742	4542346
649594	STX18-IT1	chr4	4476121	4481700
649600	STX18-AS1	chr4	4542131	4787359
649691	LINC01396	chr4	4844188	4850827
649705	MSX1	chr4	4859665	4863936
649718	CYTL1	chr4	5014586	5019458
649748	STK32B	chr4	5051480	5500994
649890	LINC01587	chr4	5524569	5527801
649907	EVC2	chr4	5542772	5709548
650108	EVC	chr4	5711201	5814305
650196	CRMP1	chr4	5748084	5893086
650328	C4orf50	chr4	5897373	6200555
650442	JAKMIP1	chr4	6026199	6200591
650698	AC092442.1	chr4	6064977	6070162
650707	AC113615.2	chr4	6178186	6184925
650712	AC113615.1	chr4	6202328	6206649
650716	WFS1	chr4	6269849	6303265
650783	AC116317.1	chr4	6292369	6308636
650796	PPP2R2C	chr4	6320578	6563600
650950	MAN2B2	chr4	6575189	6623362
651082	MRFAP1	chr4	6640091	6642745
651127	LINC02482	chr4	6648695	6673965
651154	AC093323.1	chr4	6663396	6676755
651184	LINC002481	chr4	6687448	6690519
651189	S100P	chr4	6693878	6697170
651202	MRFAP1L1	chr4	6707701	6709865
651214	BLOC1S4	chr4	6716174	6717664
651222	AC106045.1	chr4	6763508	6767660
651226	KIAA0232	chr4	6781375	6884170
651291	TBC1D14	chr4	6909242	7033118
651481	AC097382.3	chr4	6985926	6987036
651484	AC097382.1	chr4	6995341	6998958
651488	AC097382.2	chr4	7030554	7046231
651494	CCDC96	chr4	7040849	7043001
651502	TADA2B	chr4	7041899	7057952
651542	GRPEL1	chr4	7058895	7068064
651569	LINC02447	chr4	7093776	7103394
651582	SORCS2	chr4	7192538	7742836
651717	PSAPL1	chr4	7430285	7434930
651725	AFAP1-AS1	chr4	7754090	7778928
651729	AFAP1	chr4	7758714	7939926
651920	AC112254.1	chr4	7798527	7808051
651924	AC097381.1	chr4	7939001	7940296
651929	ABLIM2	chr4	7965310	8158832
652345	AC097381.3	chr4	8022665	8023126
652348	AC097381.2	chr4	8066528	8067724
652352	SH3TC1	chr4	8182072	8241803
652638	HTRA3	chr4	8269754	8307098
652681	LINC02517	chr4	8320105	8327165
652732	AC104825.1	chr4	8355090	8358338
652735	ACOX3	chr4	8366282	8440723
652900	TRMT44	chr4	8436140	8493531
652981	AC105345.2	chr4	8453410	8454942
652985	AC105345.1	chr4	8482270	8516759
652998	GPR78	chr4	8558725	8619761
653068	CPZ	chr4	8592660	8619759
653193	AC209005.1	chr4	8745391	8747727
653198	HMX1	chr4	8846076	8871839
653217	AC116612.1	chr4	8858715	8860827
653221	AC108519.1	chr4	9034519	9381269
653253	AC073648.7	chr4	9076949	9092530
653257	FAM90A26	chr4	9170409	9176730
653277	USP17L10	chr4	9210657	9212608
653294	USP17L11	chr4	9215405	9217356
653311	USP17L12	chr4	9220152	9221744
653318	USP17L13	chr4	9224896	9226847
653335	USP17L15	chr4	9234385	9236334
653348	USP17L17	chr4	9243879	9245830
653365	USP17L18	chr4	9248630	9250581
653382	USP17L19	chr4	9253378	9255329
653399	USP17L20	chr4	9258124	9260075
653416	USP17L21	chr4	9262872	9264823
653433	USP17L22	chr4	9267619	9269570
653450	USP17L23	chr4	9272364	9272914
653455	USP17L24	chr4	9325165	9327116
653472	USP17L25	chr4	9329911	9331862
653489	USP17L26	chr4	9334658	9336609
653506	USP17L5	chr4	9339403	9340995
653513	USP17L27	chr4	9344148	9345740
653520	USP17L28	chr4	9348893	9350485
653527	USP17L29	chr4	9353638	9355230
653534	USP17L30	chr4	9363129	9364721
653541	DEFB131A	chr4	9444534	9450514
653550	AC105916.1	chr4	9567474	9691786
653557	SLC2A9	chr4	9771153	10054936
653710	DRD5	chr4	9781634	9784009
653718	AC108199.1	chr4	9922814	9924146
653722	AC005674.1	chr4	10006482	10009725
653726	AC005674.2	chr4	10068089	10073019
653730	WDR1	chr4	10074339	10116949
653956	ZNF518B	chr4	10439880	10457426
653985	AC005599.1	chr4	10456745	10531022
653990	CLNK	chr4	10486395	10684768
654120	AC084048.1	chr4	10685003	10697661
654125	LINC02498	chr4	10737558	10749586
654130	HS3ST1	chr4	11393150	11429564
654154	AC006230.1	chr4	11426874	11467802
654169	AC025539.1	chr4	11469250	11478196
654173	AC005699.1	chr4	11625714	11823906
654426	LINC02360	chr4	11740948	11769468
654432	AC108037.1	chr4	11914667	11919688
654436	LINC02270	chr4	12223445	12251286
654463	AC007370.2	chr4	12859101	12864961
654467	AC007370.1	chr4	12947574	12948670
654471	RAB28	chr4	13361354	13484365
654604	AC006445.3	chr4	13491185	13516498
654610	LINC01097	chr4	13526319	13534335
654625	NKX3-2	chr4	13540830	13544508
654635	LINC01096	chr4	13546075	13547801
654642	BOD1L1	chr4	13568738	13627725
654750	LINC01182	chr4	13654374	14003756
654774	AC007126.1	chr4	13777377	13782157
654777	AC073848.1	chr4	14134936	14143592
654782	AC092546.1	chr4	14164455	14242813
654790	AC006296.3	chr4	14359400	14453625
654795	AC006296.2	chr4	14383123	14409078
654803	AC006296.1	chr4	14390439	14393992
654807	LINC00504	chr4	14470465	14888169
654835	CPEB2-DT	chr4	14909961	15002045
654851	CPEB2	chr4	15002674	15070153
655021	AC098829.1	chr4	15004942	15427914
655035	C1QTNF7	chr4	15339818	15446166
655095	AC099550.1	chr4	15358141	15420032
655101	CC2D2A	chr4	15469865	15601557
655732	AC116651.1	chr4	15563698	15564253
655735	FBXL5	chr4	15604381	15681679
655923	FAM200B	chr4	15681662	15705565
656035	BST1	chr4	15703065	15738313
656131	CD38	chr4	15778275	15853232
656192	FGFBP1	chr4	15935577	15938740
656204	FGFBP2	chr4	15960245	15969309
656217	PROM1	chr4	15963076	16084378
656688	AC108063.2	chr4	16114233	16117479
656692	TAPT1	chr4	16160505	16227410
656852	AC108063.1	chr4	16178939	16183120
656856	TAPT1-AS1	chr4	16226685	16320140
656870	AC006427.2	chr4	16322954	16326967
656874	AC097515.1	chr4	16400430	16512187
656884	LDB2	chr4	16501541	16898678
657085	AC104656.1	chr4	16598718	16604593
657090	AC106894.1	chr4	16973275	17073903
657095	LINC02493	chr4	17171757	17186079
657108	QDPR	chr4	17460261	17512206
657235	CLRN2	chr4	17515165	17527104
657247	LAP3	chr4	17577192	17607972
657401	AC006160.1	chr4	17586267	17614585
657411	MED28	chr4	17614641	17634105
657446	FAM184B	chr4	17629306	17781621
657488	DCAF16	chr4	17800655	17810758
657506	NCAPG	chr4	17810979	17844865
657622	LCORL	chr4	17841199	18021876
657745	AC093898.1	chr4	18418662	18888662
657756	AC093871.1	chr4	18488062	18489508
657760	LINC02438	chr4	19172335	19456994
657769	AC024230.1	chr4	19455418	19938448
657786	AC110767.1	chr4	19747179	19754591
657790	SLIT2	chr4	20251905	20620561
658263	SLIT2-IT1	chr4	20392154	20394856
658269	PACRGL	chr4	20696282	20752907
